universidad,universidad_nombre,ccaa,tipo_fuente,codigo,nombre,acronimo,responsable,unidad,area,lineas,n_lineas,calidad_lineas,palabras_clave,descripcion,servicios,equipamiento,oferta_tecnologica,url,web,tipo_registro,extras,fichero_origen
USC,Universidade de Santiago de Compostela,Galicia,extraido,GI-2212,Administraciones públicas y políticas en Europa,EUROPEA,"ARES CASTRO-CONDE, CRISTINA",Departamento de Ciencia Política e Socioloxía,,Calidad de la gobernanza pública | Reforma y modernización del sector público | Análisis comparado de políticas públicas | Programas electorales y políticas públicas,4,declaradas,Política pública y gobernanza | Administración pública | Ética e integridad públicas | Unión Europea,,"Estudios estratégicos sobre la Unión Europea | Análisis comparado de políticas públicas a lo largo de todo el ciclo de la política, desde la definición de la agenda hasta la evaluación | Apoyo al refuerzo de la capacidad administrativa | Asesoría y análisis de políticas para el fortalecimiento de las instituciones y los procesos democráticos",,,https://imaisd.usc.es/grupoficha.asp?idpersoatipogrupo=310792&i=es&s=-126-328-329&v=,,grupo,{},USC_groups.csv
USC,Universidade de Santiago de Compostela,Galicia,extraido,GI-2213,Aevum. Edad Media y Medievalismos,Aevum,"PELAZ FLORES, DIANA",Departamento de Historia,,Estudios Medievales | Medievalismos | Estudios culturales,3,declaradas,Edad Media | Medievalismos | Cultura material | Cultura visual | Edición documental | Cultura libraria | Historia de las Mujeres | Reginalidad | Arqueología | Vida cotidiana | Territorio | Espiritualidad,,"Análisis de la Edad Media y sus características políticas, sociales y culturales a través de la Arqueología, la Historia, la Historia del Arte y la Filología. Estudio de la huella medieval en otras épocas históricas, así como sus manifestaciones en la sociedad actual",,,https://imaisd.usc.es/grupoficha.asp?idpersoatipogrupo=310804&i=es&s=-126-328-329&v=,,grupo,{},USC_groups.csv
USC,Universidade de Santiago de Compostela,Galicia,extraido,GI-1649,Agronomía y ciencia animal,Agronomía y c. animal,"PEREIRA LORENZO, SANTIAGO",Departamento de Producción Vexetal e Proxectos de Enxeñaría Instituto Instituto de Biodiversidade Agraria e Desenvolvemento Rural (IBADER),,"Gestión de la fertilidad del suelo de cultivo. Empleo de fertilizantes y enmiendas | Valorización de residuos en agricultura: obtención y evaluación de fertilizantes, enmiendas o substratos de cultivo | Evaluación agroambiental deluso de fertilizantes y residuos en las tierras de cultivo. Indicadores físicos, químicos y biológicos de la caliad del suelo | Evaluación y mejora de sistemas de producción ecológica. Ecología agraria y del paisaje | Evaluación de recursos genéticos vegetales conservación y mantenimiento de bancos de germoplasma | Caracterización agronómica y genética selección y mejora genética de cultivares | Estudio de la aptitud de variedades autóctonas de manzana para la obtención de sidra | Estudios de cultivos agrícolas (trigo y maíz gallego para panificación) en rotación con colza y altramuz | Estudios comparativos de cultivos agrícolas (trigo gallego y maíz para pan) en condiciones ecológicas vs. convencional | Estudios microscópicos de harina de trigo y maíz gallegos para panificación: trazabilidad | El microbioma en cultivos agrícolas | Anatomía animal | Métodos alternativos de conservación animal para su uso en la enseñanza y la investigación | Manejo de animales en experimentación | Seguridad alimentaria | Evaluación agronómica y nutricional de forrajes como base para la alimentación del ganado | Sostenibilidad de los sistemas agropecuarios | Emisiones de gases de efecto invernadero",18,declaradas,"Residuos orgánicos | gestión | índices calidad ecológica | biodiversidad | ecología agraria | ecología del paisaxe | contaminación agraria difusa | reciclaje | calidad de las aguas | estructura del suelo Recursos fitogenéticos: cultivos, evaluación de la diversidad genética, evaluación fenotípica y genotípica Agronomía y agroecología: cultivos, rotaciones, productividad Ciencia Animal, anatomía animal, métodos de conservación de animais",,"Analítica de suelos, plantas, abonos, residuos orgánicos y sustratos | Gestión de residuos orgánicos: manejo, dosis, época de vertido, etc | Evaluación agronómica de residuos orgánicos | Asesoramiento en el reciclaje | Evaluación de la diversidad genética de cultivos | Valorización de cultivares tradicionales | Agronomía de los cultivos",,,https://imaisd.usc.es/grupoficha.asp?idpersoatipogrupo=75540&i=es&s=-126-328-329&v=,,grupo,{},USC_groups.csv
USC,Universidade de Santiago de Compostela,Galicia,extraido,GI-2162,Algoritmos y Modelización Geoespacial,AMGeo,"GONZALEZ VAZQUEZ, XESUS PABLO",Departamento de Enxeñaría Agroforestal Web: http://amgeo.es,,Algoritmos | Big Data | Análisis | Sensores | Aplicaciones geoinformáticas,5,declaradas,Geomática | Fotogrametría | Teledetección | Sistemas de Información Geográfica | SIG | Big Data | Minería de Datos | Modelización,,Diseño y desarrollo de algoritmos aplicados a la ingeniería | Modelización y explotación de Big Data | Análisis geoespacial multivariable | Desarrollo de aplicaciones multisensor en entornos 3D | Integración y gestión de aplicaciones geoinformáticas,,,https://imaisd.usc.es/grupoficha.asp?idpersoatipogrupo=245137&i=es&s=-126-328-329&v=,,grupo,{},USC_groups.csv
USC,Universidade de Santiago de Compostela,Galicia,extraido,GI-1707,Anatomía patológica veterinaria,GAPAVET,"QUIROGA BERDEAL, MARIA ISABEL","Departamento de Anatomía, Produción Animal e Ciencias Clínicas Veterinarias",,"Patogenia y diagnóstico de enfermedades comunes y emergentes en mamíferos, aves y animales acuáticos, con especial énfasis en especies de intéres en acuicultura | Estudio morfopatológico y de respuesta inmunitaria local en mucosas, mediante un enfoque multidisciplinar empleando técnicas histopatológicas, inmunitarias y genéticas | Evaluación de la esqueletogénesis, anomalías esqueléticas y musculares en diferentes fases de producción de peces de cultivo | Desarrollo de modelos experimentales de enfermedades animales y humanas en pez cebra",4,declaradas,"Veterinaria, patoloxía, anatomía patolóxica, diagnóstico, peixes, mamíferos, inmunoloxía, inmunopatoloxía, histoloxía",,"Servicio de diagnóstico histopatológico | Inmunohistoquimica, hibridación in situ y PCR in situ | Microscopía electrónica de transmisión y barrido",,,https://imaisd.usc.es/grupoficha.asp?idpersoatipogrupo=75605&i=es&s=-126-328-329&v=,,grupo,{},USC_groups.csv
USC,Universidade de Santiago de Compostela,Galicia,extraido,GI-1428,Antropología Socio-Cultural,Antropología,"FREIRE PAZ, ELENA",Departamento de Filosofía e Antropoloxía,,"1.Estudio sobre el patrimonio cultural, etnográfico, inmaterial y Caminos de Santiago 2.Perspectiva de género y teoría crítica feminista 3.Metodologías de investigación cualitativa, método etnográfico y trabajo de campo 4.Aspectos culturales de la alimentación 5.Estudio de las migraciones, desigualdades y exclusión social 6.Imaginarios y representaciones sociales 7. Procesos de cambio social, participación ciudadana y movimientos sociales",1,declaradas,antropología | patrimonio cultural | turismo | desarrollo local,,"1.Asesoramiento antropológico y elaboración de informes para la gestión del patrimonio cultural 2. Asesoramiento para la aplicación de perspectiva de género en el ámbito de la investigación y la intervención social: patrimonio cultural, planes de igualdad, talleres, etc. 3.Orientaciones antropológicas para el sector agroalimentario 4. Asesoramiento para la aplicación de metodologías cualitativas de investigación-acción participativa en diversos ámbitos para la intervención social",,,https://imaisd.usc.es/grupoficha.asp?idpersoatipogrupo=75304&i=es&s=-126-328-329&v=,,grupo,{},USC_groups.csv
USC,Universidade de Santiago de Compostela,Galicia,extraido,GI-2060,Análisis Económico de los Mercados e Instituciones,AEMI,"ANTELO SUAREZ, MANEL",Centro de Investigación Interdisciplinar en Tecnoloxías Ambientais (CRETUS) Web: http://aemiusc.es,,Organización Industrial. Macroeconomía. Economía Financiera. Economía Medio-ambiental y de los Recursos Naturales. Economía del Transporte. Economía del Mercado de Trabajo,1,declaradas,Organización Industrial | Mercados financieros | Mercado de trabajo | Crecimiento y desarrollo económico | Progreso técnico,,Estudios teóricos y aplicados publicables en revistas de alto impacto internacionales. Asesoramiento a empresas e instituciones sobre las lineas de investigación contempladas. Elaboración y tratamiento de bases de datos para el análisis económico,,,https://imaisd.usc.es/grupoficha.asp?idpersoatipogrupo=165153&i=es&s=-126-328-329&v=,,grupo,{},USC_groups.csv
USC,Universidade de Santiago de Compostela,Galicia,extraido,GI-1871,Análisis Territorial,ANTE,"LOIS GONZALEZ, RUBEN CAMILO",Departamento de Xeografía Instituto Instituto de Estudos e Desenvolvemento de Galicia (IDEGA) Web: http://www.usc.es/ante,,"Análisis socioeconómicos con implicaciones territoriales: turismo, industria, transportes-mobilidad, pesca | Desarrollo local | Ordenación del territorio: urbanismo | Mediambiente: espacios naturales, diagnóstico ambiental, climatología aplicada | Cooperación internacional al desarrollo. Lucha contra el empobrecimiento",5,declaradas,Geografía | Ordenación del territorio | industria | urbanismo | pesca | turismo | movilidad | transportes | desarrollo local | medioambiente | espacios naturales | climatología,,"Asesoramiento para temas de ordenación del territorio: elaboración de Planes Generales, Estratégicos, Parciales y Especiales | Diagnosis territoriales, sociales, económicas y ambientales | Planificación territorial: planificación de espacios naturales, planificación turística, mobilidad sostenible",,,https://imaisd.usc.es/grupoficha.asp?idpersoatipogrupo=109042&i=es&s=-126-328-329&v=,,grupo,{},USC_groups.csv
USC,Universidade de Santiago de Compostela,Galicia,extraido,GI-2118,"Análisis sensorial, valoración nutricional y desarrollo de nuevos alimentos",ASVNDNA,"ROMERO RODRIGUEZ, MARIA ANGELES","Departamento de Química Analítica, Nutrición e Bromatoloxía Web: http://labtecali.usc.es/",,"Unidad de Análisis Sensorial - Análisis sensorial de todo tipo de alimentos - Análisis físico-químico de alimentos - Procesos de conservación y envasado de alimentos - Estudios de consumidores - Desarrollo de programas de valoración nutricional - Productos cárnicos - Productos pesqueros - Productos vegetales Unidad de desarrollo de nuevos alimentos Materias Primas - Tratamientos de residuos de la industria agricola y forestal. - Estudios de hidrólisis ácida y enzimática de materiales lignocelulósicos y amiláceos. - Producción de compost Biotecnología Alimentaria - Obtención de aditivos alimentarios por fermentación - Producción de carotenoides por fermentación - Producción de ácido láctico por fermentación - Producción de xilitol por fermentación - Producción de transglutaminasa microbiana Tecnología de productos pesqueros - Estudios de gelificación de proteínas de pescado - Aplicación de aditivos para mejorar las características de textura de productos reestructurados - Aplicación de Altas Presiones Hidrostáticas en productos pesqueros Tecnología postcosecha - Tratamientos de Altas presiones hidrostáticas en frutas como método cuarentenario para eliminar larvas y huevos de mosca Técnicas Analíticas y Estadísticas - Aplicación de espectroscopía UV-VIS-NIR en el análisis y autenticación de alimento. - Aplicaciones de HPLC para el análisis de alimentos - Análisis de textura de alimentos - Aplicaciones quimiométricas en Tecnología de Alimentos Simulación de procesos - Estudios de Diseño y Simulación por Ordenador de plantas de producción de alimentos Unidad de comercialización e investigación de mercados - Comportamiento del consumidor de alimentos - Responsabilidad social corporativa y comportamiento del consumidor - Consumo alimentario sostenible: producto ecológico, comercio justo, ... - Consumo local: etnocentrismo, aspectos emocionales, animosidad - Comercialización de producto alimenticio - Digitalización comercial de la empresa alimentaria - Gestión de ventas - Comportamiento organizativo en la empresa agroalimentaria",1,declaradas,"materiales lignocelulósicos, utrafiltración | fermentación | hidrólisis | textura | fermentador | pescado | altas presiones hidrostáticas | geles | Análisis sensorial | análisis físico-químico | conservación | alimentos",,Cursos para empresas: - DISEÑO Y SIMULACIÓN POR ORDENADOR DE PLANTAS DE PRODUCCIÓN DE ALIMENTOS Análisis para empresas: - Análisis de Textura en Alimentos - Análisis de actividad transglutaminásica. - Análisis de azúcares y ácidos orgánicos por HPLC - Análisis de alimentos a empresas y particulares. - Asesoramiento técnico. - Estudos de mercado e de consumidores,,,https://imaisd.usc.es/grupoficha.asp?idpersoatipogrupo=205546&i=es&s=-126-328-329&v=,,grupo,{},USC_groups.csv
USC,Universidade de Santiago de Compostela,Galicia,extraido,GI-1291,Análisis y Conservación de la Biodiversidad,ACBiodiv,"SERRANO PEREZ, LUIS MIGUEL",Departamento de Botánica Web: http://www.biodiversidade.eu,,"Flora y vegetación de Galicia. Estudios taxonómicos y fitosociológicos | Biología y ecología de aves acuáticas | Conservación de la flora vascular amenazada de Galicia | Conservación y manejo de flora amenazada | Biología de la conservación | Evaluación y conservación del medio natural | Biología del cambio global | Biogeografía | Filogenia y sistemática de plantas vasculares basada en datos morfológicos y moleculares | Filogenia y sistemática de las Asteraceae de Africa Tropical, Suráfrica y Brasil | Teledetección y conservación | Evaluación del impacto de las especies exóticas invasoras en los hábitats naturales y seminaturales | Vegetaciión americana: Chile y México. Bioclimatología y análisis del paisaje | Biología y sistemática de Tipúlidos y Limónidos (Diptera) | Estudio de poblaciones entomológicas de áreas protegidas | Cultivo ""in vitro"" | Etnobotánica",17,declaradas,"Plantas vasculares | aves acuáticas | vertebrados | filogenia | sistemática | biodiversidad | conservación | teledetección | cultivo in vitro, etnobotánica | vegetación | Directiva Habitat | flora amenazada | Fauna amenazada | flora exótica invasora | biogeografía | bioclimatología | ecología espacial | ecología de los incendios | Chile | México | Africa tropical | Sudáfrica",,"Estudios de biodiversidad vegetal (especies y comunidades) orientados a la evaluación de impacto ambiental y otros fines | Elaboración de planes de conservación y/o recuperación de especies y comunidades vegetales amenazadas | Elaboración de planes de recuperación y conservación de fauna amenazada | Identificación de materias vegetales mediante técnicas moleculares | Monitoreo de fauna | Cartografía de la vegetación | Identificación y evaluación de los hábitats de la Directiva 92/43/CEE | Estudios de fauna en EIAs | Identificación y evaluación del impacto de las especies exóticas en los ecosistemas naturales | Teledetección aplicada a la conservación | Interpretación de la dinámica de la vegetación natural y seminatural | Estudio del uso de las plantas por el hombre | Multiplicación ""in vitro"" de plantas amenazadas y de valor comercial",,,https://imaisd.usc.es/grupoficha.asp?idpersoatipogrupo=75160&i=es&s=-126-328-329&v=,,grupo,{},USC_groups.csv
